11.2,32.8,39.2,30.4,79.2,69.6,32.8,55.2,68,9.6,54.4,55.2,34.4,52.8,55.2,6.4,53.6,76.8,76,68.8
45.6,28,75.2,27.2,59.2,72.8,56.8,70.4,43.2,47.2,70.4,59.2,64,8,27.2,66.4,44,4,100,57.6
8,71.2,38.4,62.4,22.4,42.4,28.8,33.6,17.6,39.2,14.4,29.6,10.4,54.4,67.2,2.4,57.6,28,76,7.2
52,51.2,4.8,10.4,3.2,45.6,56.8,61.6,52.8,51.2,76,39.2,8.8,44,4,49.6,45.6,72.8,54.4,56
53.6,4,43.2,80,28,60,40,8.8,75.2,25.6,9.6,24,72.8,13.6,76.8,28,34.4,70.4,2.4,23.2
75.2,55.2,72,68,72,26.4,61.6,67.2,0.8,74.4,46.4,20,64.8,0,52,62.4,56.8,27.2,72,31.2
12,9.6,36,71.2,67.2,52.8,20.8,6.4,76.8,18.4,80,58.4,18.4,28.8,72.8,22.4,2.4,32.8,31.2,38.4
67.2,68,4.8,16.8,14.4,61.6,65.6,33.6,56.8,22.4,17.6,36,58.4,19.2,8.8,66.4,68,15.2,28.8,28
69.6,28,4.8,18.4,69.6,61.6,63.2,3.2,76.8,28,72,6.4,40.8,10.4,64,21.6,14.4,52.8,3.2,28.8
53.6,68.8,24,76,73.6,52.8,5.6,50.4,74.4,59.2,14.4,23.2,53.6,9.6,3.2,66.4,39.2,51.2,16.8,56
56.8,16,8,29.6,76,5.6,20.8,4,15.2,7.2,4.8,12,19.2,13.6,75.2,57.6,63.2,16,11.2,67.2
37.6,0.8,37.6,36,46.4,9.6,59.2,4,42.4,7.2,57.6,0,72.8,53.6,7.2,17.6,51.2,4,7.2,80
23.2,52.8,14.4,9.6,14.4,56,8.8,79.2,51.2,44,60,24.8,43.2,50.4,75.2,52,4.8,67.2,0.8,63.2
65.6,55.2,60.8,4,35.2,49.6,44.8,74.4,61.6,14.4,2.4,72,76.8,73.6,68,68,52.8,79.2,44,21.6
28.8,57.6,77.6,26.4,44.8,48,8,53.6,13.6,0.8,0.8,47.2,17.6,31.2,68,39.2,4,20,21.6,36.8
34.4,47.2,19.2,61.6,0,64.8,3.2,50.4,16.8,13.6,35.2,50.4,1.6,56,62.4,37.6,11.2,75.2,52.8,33.6
42.4,28.8,15.2,33.6,26.4,16,79.2,36.8,39.2,58.4,12,44.8,46.4,11.2,32.8,45.6,80,59.2,14.4,23.2
40.8,26.4,77.6,23.2,46.4,31.2,74.4,56,44.8,43.2,67.2,22.4,32.8,35.2,38.4,52.8,66.4,73.6,36.8,58.4
32,7.2,56,76.8,4,73.6,52,60,42.4,15.2,33.6,52,70.4,16,66.4,30.4,12,71.2,39.2,39.2
43.2,4,43.2,0.8,1.6,1.6,57.6,20,50.4,32,64,11.2,37.6,2.4,2.4,8,47.2,34.4,47.2,24
